sample_id,source_group,db_id,input_type,operation_type,dependency_sensitive,first_failure_stage,error_type,error_family,preflight_rejection_reason,accepted_output,false_accept,hit_max_new_tokens,output_tokens,input_tokens
seed_000288,seed_000288,financial,semi_structured,plain_insert,0,build,UNKNOWN_COLUMN_ID,schema_reference_grounding,,0,0,0,187,4525
aug_seed_000222_small_batch_subset_001,seed_000222,financial,free_text,insert_ignore,0,build,MISSING_REQUIRED_COLUMN,missing_write_semantics,,0,0,0,326,5489
seed_000182,seed_000182,student_club,semi_structured,upsert_update,0,state_mismatch,wrong_state,accepted_state_mismatch,,1,1,0,190,2368
seed_000085,seed_000085,debit_card_specializing,semi_structured,plain_insert,0,state_mismatch,wrong_state,accepted_state_mismatch,,1,1,0,173,3287
seed_000343,seed_000343,financial,semi_structured,insert_ignore,0,preflight,preflight_abstention,preflight_rejection,unique_constraint,0,0,0,288,4468
seed_000020,seed_000020,european_football_2,semi_structured,insert_ignore,1,preflight,preflight_abstention,preflight_rejection,foreign_key,0,0,0,186,3892
aug_seed_000275_relational_format_variant_002,seed_000275,student_club,semi_structured,insert_ignore,1,preflight,preflight_abstention,preflight_rejection,unique_constraint,0,0,0,120,2800
seed_000267,seed_000267,california_schools,semi_structured,upsert_update,0,build,MISSING_REQUIRED_COLUMN,missing_write_semantics,,0,0,0,398,8074
aug_seed_000241_small_batch_subset_001,seed_000241,european_football_2,free_text,insert_ignore,0,build,LOSSY_NORMALIZATION_REJECTED,normalization,,0,0,0,486,13587
aug_seed_000078_relational_format_variant_001,seed_000078,california_schools,free_text,plain_insert,1,build,LOSSY_NORMALIZATION_REJECTED,normalization,,0,0,0,3680,15243
seed_000252,seed_000252,superhero,semi_structured,plain_insert,0,build,UNRESOLVED_SOURCE_FIELD,source_field_grounding,,0,0,0,120,4045
aug_seed_000234_relational_format_variant_001,seed_000234,toxicology,free_text,insert_ignore,1,build,NEEDS_CLARIFICATION,ambiguity_or_insufficient_information,,0,0,0,2704,6888
seed_000218,seed_000218,superhero,semi_structured,plain_insert,0,build,UNRESOLVED_SOURCE_FIELD,source_field_grounding,,0,0,0,120,3805
seed_000346,seed_000346,codebase_community,semi_structured,insert_ignore,1,build,UNRESOLVED_SOURCE_FIELD,source_field_grounding,,0,0,0,133,6162
aug_seed_000191_single_row_subset_001,seed_000191,debit_card_specializing,semi_structured,insert_ignore,0,preflight,preflight_abstention,preflight_rejection,unique_constraint,0,0,0,175,2377
aug_seed_000051_small_batch_subset_002,seed_000051,financial,semi_structured,insert_ignore,0,preflight,preflight_abstention,preflight_rejection,unique_constraint,0,0,0,172,2732
aug_seed_000165_single_row_subset_001,seed_000165,superhero,free_text,insert_ignore,0,build,MISSING_UPDATE_COLUMN_IDS,missing_write_semantics,,0,0,0,450,4291
seed_000334,seed_000334,financial,semi_structured,plain_insert,0,build,UNKNOWN_COLUMN_ID,schema_reference_grounding,,0,0,0,188,4525
seed_000003,seed_000003,california_schools,semi_structured,upsert_update,0,build,MISSING_REQUIRED_COLUMN,missing_write_semantics,,0,0,0,308,7261
aug_seed_000009_small_batch_subset_002,seed_000009,debit_card_specializing,free_text,insert_ignore,0,preflight,preflight_abstention,preflight_rejection,unique_constraint,0,0,0,473,4536
seed_000011,seed_000011,card_games,semi_structured,upsert_update,0,state_mismatch,wrong_state,accepted_state_mismatch,,1,1,0,177,5882
seed_000203,seed_000203,financial,semi_structured,insert_ignore,0,preflight,preflight_abstention,preflight_rejection,unique_constraint,0,0,0,193,2720
seed_000134,seed_000134,toxicology,semi_structured,insert_ignore,1,preflight,preflight_abstention,preflight_rejection,unique_constraint,0,0,0,174,2953
