sample_id,first_failure_code,plan_kind,classification,reference_error_count,repairable_reference_error_count,other_error_codes,proposed_repairs,reference_errors
final_vaccine_010,REF_UNKNOWN_COLUMN,mapping,REFERENCE_REPAIR_PARTIAL_BUT_SAMPLE_NOT_SAFE,14,14,NEEDS_CLARIFICATION,"[[""/target_groups/0/field_mapping/c1.f1"",""t2.loggerreg"",""t2.c8"",""unique_exact_identifier_name""],[""/target_groups/0/field_mapping/c1.f2"",""t2.logflag"",""t2.c7"",""unique_exact_identifier_name""],[""/target_groups/0/field_mapping/c1.f3"",""t2.loginterval"",""t2.c9"",""unique_exact_identifier_name""],[""/target_groups/0/field_mapping/c1.f4"",""t2.transmitflag"",""t2.c19"",""unique_exact_identifier_name""],[""/target_groups/0/field_mapping/c1.f5"",""t2.datauptime"",""t2.c5"",""unique_exact_identifier_name""],[""/target_groups/0/field_mapping/c1.f6"",""t2.datapct"",""t2.c4"",""unique_exact_identifier_name""],[""/target_groups/0/field_mapping/c1.f7"",""t2.softupdate"",""t2.c13"",""unique_exact_identifier_name""],[""/target_groups/0/field_mapping/c1.f8"",""t2.syshealth"",""t2.c18"",""unique_exact_identifier_name""],[""/target_groups/0/field_mapping/c1.f9"",""t2.netsignal"",""t2.c11"",""unique_exact_identifier_name""],[""/target_groups/0/field_mapping/c1.f10"",""t2.commproto"",""t2.c2"",""unique_exact_identifier_name""],[""/target_groups/0/field_mapping/c1.f11"",""t2.syncflag"",""t2.c16"",""unique_exact_identifier_name""],[""/target_groups/0/field_mapping/c1.f12"",""t2.syncfreqhr"",""t2.c17"",""unique_exact_identifier_name""],[""/target_groups/0/field_mapping/c1.f13"",""t2.containlog"",""t2.c3"",""unique_exact_identifier_name""],[""/target_groups/0/field_mapping/c1.f14"",""t2.shiplog"",""t2.c12"",""unique_exact_identifier_name""]]","[[""UNKNOWN_COLUMN_ID"",""t2.loggerreg"",""/target_groups/0/field_mapping/c1.f1"",""t2.c8"",""exact_name_in_target_table"",19],[""UNKNOWN_COLUMN_ID"",""t2.logflag"",""/target_groups/0/field_mapping/c1.f2"",""t2.c7"",""exact_name_in_target_table"",19],[""UNKNOWN_COLUMN_ID"",""t2.loginterval"",""/target_groups/0/field_mapping/c1.f3"",""t2.c9"",""exact_name_in_target_table"",19],[""UNKNOWN_COLUMN_ID"",""t2.transmitflag"",""/target_groups/0/field_mapping/c1.f4"",""t2.c19"",""exact_name_in_target_table"",19],[""UNKNOWN_COLUMN_ID"",""t2.datauptime"",""/target_groups/0/field_mapping/c1.f5"",""t2.c5"",""exact_name_in_target_table"",19],[""UNKNOWN_COLUMN_ID"",""t2.datapct"",""/target_groups/0/field_mapping/c1.f6"",""t2.c4"",""exact_name_in_target_table"",19],[""UNKNOWN_COLUMN_ID"",""t2.softupdate"",""/target_groups/0/field_mapping/c1.f7"",""t2.c13"",""exact_name_in_target_table"",19],[""UNKNOWN_COLUMN_ID"",""t2.syshealth"",""/target_groups/0/field_mapping/c1.f8"",""t2.c18"",""exact_name_in_target_table"",19],[""UNKNOWN_COLUMN_ID"",""t2.netsignal"",""/target_groups/0/field_mapping/c1.f9"",""t2.c11"",""exact_name_in_target_table"",19],[""UNKNOWN_COLUMN_ID"",""t2.commproto"",""/target_groups/0/field_mapping/c1.f10"",""t2.c2"",""exact_name_in_target_table"",19],[""UNKNOWN_COLUMN_ID"",""t2.syncflag"",""/target_groups/0/field_mapping/c1.f11"",""t2.c16"",""exact_name_in_target_table"",19],[""UNKNOWN_COLUMN_ID"",""t2.syncfreqhr"",""/target_groups/0/field_mapping/c1.f12"",""t2.c17"",""exact_name_in_target_table"",19],[""UNKNOWN_COLUMN_ID"",""t2.containlog"",""/target_groups/0/field_mapping/c1.f13"",""t2.c3"",""exact_name_in_target_table"",19],[""UNKNOWN_COLUMN_ID"",""t2.shiplog"",""/target_groups/0/field_mapping/c1.f14"",""t2.c12"",""exact_name_in_target_table"",19]]"
final_vaccine_018,REF_INVALID_SOURCE_REF,free_text,NON_REPAIRABLE_REFERENCE,1,0,,[],"[[""UNKNOWN_CONSTRAINT_ID"",""t7.c10"",""/write_groups/0/conflict_target_id"",""t7.u1"",""unique_closed_set"",1]]"
final_vaccine_033,REF_UNKNOWN_COLUMN,free_text,REFERENCE_REPAIR_PARTIAL_BUT_SAMPLE_NOT_SAFE,12,8,MISSING_UPDATE_COLUMN_IDS,"[[""/write_groups/0/rows/0/t5.timemark"",""t5.timemark"",""t5.c20"",""unique_exact_identifier_name""],[""/write_groups/1/rows/0/t1.batterypct"",""t1.batterypct"",""t1.c1"",""unique_exact_identifier_name""],[""/write_groups/1/rows/0/t1.shipown"",""t1.shipown"",""t1.c14"",""unique_exact_identifier_name""],[""/write_groups/2/rows/0/t2.logflag"",""t2.logflag"",""t2.c7"",""unique_exact_identifier_name""],[""/write_groups/2/rows/0/t2.datapct"",""t2.datapct"",""t2.c4"",""unique_exact_identifier_name""],[""/write_groups/2/rows/0/t2.syshealth"",""t2.syshealth"",""t2.c18"",""unique_exact_identifier_name""],[""/write_groups/2/rows/0/t2.containlog"",""t2.containlog"",""t2.c3"",""unique_exact_identifier_name""],[""/write_groups/2/rows/0/t2.shiplog"",""t2.shiplog"",""t2.c12"",""unique_exact_identifier_name""]]","[[""UNKNOWN_COLUMN_ID"",""t5.timemark"",""/write_groups/0/rows/0/t5.timemark"",""t5.c20"",""exact_name_in_target_table"",20],[""UNKNOWN_COLUMN_ID"",""t1.batterypct"",""/write_groups/1/rows/0/t1.batterypct"",""t1.c1"",""exact_name_in_target_table"",15],[""UNKNOWN_COLUMN_ID"",""t1.shipown"",""/write_groups/1/rows/0/t1.shipown"",""t1.c14"",""exact_name_in_target_table"",15],[""UNKNOWN_COLUMN_ID"",""t1.batterypct"",""/write_groups/1/update_column_ids/2"",""t1.c1"",""exact_name_in_target_table"",15],[""UNKNOWN_COLUMN_ID"",""t2.logflag"",""/write_groups/2/rows/0/t2.logflag"",""t2.c7"",""exact_name_in_target_table"",19],[""UNKNOWN_COLUMN_ID"",""t2.datapct"",""/write_groups/2/rows/0/t2.datapct"",""t2.c4"",""exact_name_in_target_table"",19],[""UNKNOWN_COLUMN_ID"",""t2.syshealth"",""/write_groups/2/rows/0/t2.syshealth"",""t2.c18"",""exact_name_in_target_table"",19],[""UNKNOWN_COLUMN_ID"",""t2.containlog"",""/write_groups/2/rows/0/t2.containlog"",""t2.c3"",""exact_name_in_target_table"",19],[""UNKNOWN_COLUMN_ID"",""t2.shiplog"",""/write_groups/2/rows/0/t2.shiplog"",""t2.c12"",""exact_name_in_target_table"",19],[""UNKNOWN_COLUMN_ID"",""t2.logflag"",""/write_groups/2/update_column_ids/0"",""t2.c7"",""exact_name_in_target_table"",19],[""UNKNOWN_COLUMN_ID"",""t2.datapct"",""/write_groups/2/update_column_ids/1"",""t2.c4"",""exact_name_in_target_table"",19],[""UNKNOWN_COLUMN_ID"",""t2.syshealth"",""/write_groups/2/update_column_ids/2"",""t2.c18"",""exact_name_in_target_table"",19]]"
final_vaccine_056,REF_UNKNOWN_COLUMN,mapping,REFERENCE_REPAIR_PARTIAL_BUT_SAMPLE_NOT_SAFE,10,7,,"[[""/target_groups/0/field_mapping/c1.f1"",""t4.containlink"",""t4.c5"",""unique_exact_identifier_name""],[""/target_groups/0/field_mapping/c1.f2"",""t4.vehsenseref"",""t4.c22"",""unique_exact_identifier_name""],[""/target_groups/0/field_mapping/c1.f3"",""t4.storetempc"",""t4.c14"",""unique_exact_identifier_name""],[""/target_groups/0/field_mapping/c1.f4"",""t4.tempnowc"",""t4.c18"",""unique_exact_identifier_name""],[""/target_groups/0/field_mapping/c1.f5"",""t4.humiditypct"",""t4.c8"",""unique_exact_identifier_name""],[""/target_groups/0/field_mapping/c1.f6"",""t4.shockflag"",""t4.c13"",""unique_exact_identifier_name""],[""/target_groups/0/field_mapping/c1.f7"",""t4.alerts"",""t4.c3"",""unique_exact_identifier_name""]]","[[""UNKNOWN_COLUMN_ID"",""t4.containlink"",""/target_groups/0/field_mapping/c1.f1"",""t4.c5"",""exact_name_in_target_table"",23],[""UNKNOWN_COLUMN_ID"",""t4.vehsenseref"",""/target_groups/0/field_mapping/c1.f2"",""t4.c22"",""exact_name_in_target_table"",23],[""UNKNOWN_COLUMN_ID"",""t4.storetempc"",""/target_groups/0/field_mapping/c1.f3"",""t4.c14"",""exact_name_in_target_table"",23],[""UNKNOWN_COLUMN_ID"",""t4.tempnowc"",""/target_groups/0/field_mapping/c1.f4"",""t4.c18"",""exact_name_in_target_table"",23],[""UNKNOWN_COLUMN_ID"",""t4.humiditypct"",""/target_groups/0/field_mapping/c1.f5"",""t4.c8"",""exact_name_in_target_table"",23],[""UNKNOWN_COLUMN_ID"",""t4.shockflag"",""/target_groups/0/field_mapping/c1.f6"",""t4.c13"",""exact_name_in_target_table"",23],[""UNKNOWN_COLUMN_ID"",""t4.alerts"",""/target_groups/0/field_mapping/c1.f7"",""t4.c3"",""exact_name_in_target_table"",23],[""UNKNOWN_COLUMN_ID"",""t4.row_1"",""/target_groups/0/field_mapping/c1.f8"",null,null,23],[""UNKNOWN_COLUMN_ID"",""t4.row_2"",""/target_groups/0/field_mapping/c1.f9"",null,null,23],[""UNKNOWN_COLUMN_ID"",""t4.row_3"",""/target_groups/0/field_mapping/c1.f10"",null,null,23]]"
final_virtual_004,REF_UNKNOWN_COLUMN,mapping,REPAIRABLE_REFERENCE_ONLY,1,1,,"[[""/target_groups/0/field_mapping/c1.f1"",""t5.userregistry"",""t5.c7"",""unique_exact_identifier_name""]]","[[""UNKNOWN_COLUMN_ID"",""t5.userregistry"",""/target_groups/0/field_mapping/c1.f1"",""t5.c7"",""exact_name_in_target_table"",7]]"
final_virtual_005,REF_UNKNOWN_COLUMN,mapping,REPAIRABLE_REFERENCE_ONLY,1,1,,"[[""/target_groups/0/field_mapping/c1.f1"",""t14.entityreg"",""t14.c3"",""unique_exact_identifier_name""]]","[[""UNKNOWN_COLUMN_ID"",""t14.entityreg"",""/target_groups/0/field_mapping/c1.f1"",""t14.c3"",""exact_name_in_target_table"",7]]"
final_virtual_019,REF_UNKNOWN_COLUMN,mapping,REPAIRABLE_REFERENCE_ONLY,1,1,,"[[""/target_groups/0/field_mapping/c1.f1"",""t2.commercereg"",""t2.c4"",""unique_exact_identifier_name""]]","[[""UNKNOWN_COLUMN_ID"",""t2.commercereg"",""/target_groups/0/field_mapping/c1.f1"",""t2.c4"",""exact_name_in_target_table"",9]]"
final_virtual_021,REF_UNKNOWN_COLUMN,mapping,REPAIRABLE_REFERENCE_ONLY,1,1,,"[[""/target_groups/0/field_mapping/c1.f1"",""t5.userregistry"",""t5.c7"",""unique_exact_identifier_name""]]","[[""UNKNOWN_COLUMN_ID"",""t5.userregistry"",""/target_groups/0/field_mapping/c1.f1"",""t5.c7"",""exact_name_in_target_table"",7]]"
final_virtual_027,REF_UNKNOWN_COLUMN,mapping,REPAIRABLE_REFERENCE_ONLY,9,9,,"[[""/target_groups/0/field_mapping/c1.f1"",""t2.commercereg"",""t2.c4"",""unique_exact_identifier_name""],[""/target_groups/0/field_mapping/c1.f2"",""t2.commerceengagepivot"",""t2.c2"",""unique_exact_identifier_name""],[""/target_groups/0/field_mapping/c1.f3"",""t2.commercememberpivot"",""t2.c3"",""unique_exact_identifier_name""],[""/target_groups/0/field_mapping/c1.f4"",""t2.collcomprate"",""t2.c1"",""unique_exact_identifier_name""],[""/target_groups/0/field_mapping/c1.f5"",""t2.tradelevel"",""t2.c9"",""unique_exact_identifier_name""],[""/target_groups/0/field_mapping/c1.f6"",""t2.merchbuy"",""t2.c6"",""unique_exact_identifier_name""],[""/target_groups/0/field_mapping/c1.f7"",""t2.merchspendusd"",""t2.c7"",""unique_exact_identifier_name""],[""/target_groups/0/field_mapping/c1.f8"",""t2.digown"",""t2.c5"",""unique_exact_identifier_name""],[""/target_groups/0/field_mapping/c1.f9"",""t2.physown"",""t2.c8"",""unique_exact_identifier_name""]]","[[""UNKNOWN_COLUMN_ID"",""t2.commercereg"",""/target_groups/0/field_mapping/c1.f1"",""t2.c4"",""exact_name_in_target_table"",9],[""UNKNOWN_COLUMN_ID"",""t2.commerceengagepivot"",""/target_groups/0/field_mapping/c1.f2"",""t2.c2"",""exact_name_in_target_table"",9],[""UNKNOWN_COLUMN_ID"",""t2.commercememberpivot"",""/target_groups/0/field_mapping/c1.f3"",""t2.c3"",""exact_name_in_target_table"",9],[""UNKNOWN_COLUMN_ID"",""t2.collcomprate"",""/target_groups/0/field_mapping/c1.f4"",""t2.c1"",""exact_name_in_target_table"",9],[""UNKNOWN_COLUMN_ID"",""t2.tradelevel"",""/target_groups/0/field_mapping/c1.f5"",""t2.c9"",""exact_name_in_target_table"",9],[""UNKNOWN_COLUMN_ID"",""t2.merchbuy"",""/target_groups/0/field_mapping/c1.f6"",""t2.c6"",""exact_name_in_target_table"",9],[""UNKNOWN_COLUMN_ID"",""t2.merchspendusd"",""/target_groups/0/field_mapping/c1.f7"",""t2.c7"",""exact_name_in_target_table"",9],[""UNKNOWN_COLUMN_ID"",""t2.digown"",""/target_groups/0/field_mapping/c1.f8"",""t2.c5"",""exact_name_in_target_table"",9],[""UNKNOWN_COLUMN_ID"",""t2.physown"",""/target_groups/0/field_mapping/c1.f9"",""t2.c8"",""exact_name_in_target_table"",9]]"
final_virtual_035,REF_UNKNOWN_COLUMN,mapping,REFERENCE_REPAIR_PARTIAL_BUT_SAMPLE_NOT_SAFE,1,1,NEEDS_CLARIFICATION,"[[""/target_groups/0/field_mapping/c1.f1"",""t14.entityreg"",""t14.c3"",""unique_exact_identifier_name""]]","[[""UNKNOWN_COLUMN_ID"",""t14.entityreg"",""/target_groups/0/field_mapping/c1.f1"",""t14.c3"",""exact_name_in_target_table"",7]]"
final_virtual_042,REF_UNKNOWN_COLUMN,mapping,REFERENCE_REPAIR_PARTIAL_BUT_SAMPLE_NOT_SAFE,7,7,NEEDS_CLARIFICATION,"[[""/target_groups/0/field_mapping/c1.f1"",""t5.nicklabel"",""t5.c1"",""unique_exact_identifier_name""],[""/target_groups/0/field_mapping/c1.f2"",""t5.personal_attributes"",""t5.c2"",""unique_exact_identifier_name""],[""/target_groups/0/field_mapping/c1.f3"",""t5.statustag"",""t5.c5"",""unique_exact_identifier_name""],[""/target_groups/0/field_mapping/c1.f4"",""t5.tierstep"",""t5.c6"",""unique_exact_identifier_name""],[""/target_groups/0/field_mapping/c1.f5"",""t5.ptsval"",""t5.c3"",""unique_exact_identifier_name""],[""/target_groups/0/field_mapping/c1.f6"",""t5.userregistry"",""t5.c7"",""unique_exact_identifier_name""],[""/target_groups/0/field_mapping/c1.f7"",""t5.regmoment"",""t5.c4"",""unique_exact_identifier_name""]]","[[""UNKNOWN_COLUMN_ID"",""t5.nicklabel"",""/target_groups/0/field_mapping/c1.f1"",""t5.c1"",""exact_name_in_target_table"",7],[""UNKNOWN_COLUMN_ID"",""t5.personal_attributes"",""/target_groups/0/field_mapping/c1.f2"",""t5.c2"",""exact_name_in_target_table"",7],[""UNKNOWN_COLUMN_ID"",""t5.statustag"",""/target_groups/0/field_mapping/c1.f3"",""t5.c5"",""exact_name_in_target_table"",7],[""UNKNOWN_COLUMN_ID"",""t5.tierstep"",""/target_groups/0/field_mapping/c1.f4"",""t5.c6"",""exact_name_in_target_table"",7],[""UNKNOWN_COLUMN_ID"",""t5.ptsval"",""/target_groups/0/field_mapping/c1.f5"",""t5.c3"",""exact_name_in_target_table"",7],[""UNKNOWN_COLUMN_ID"",""t5.userregistry"",""/target_groups/0/field_mapping/c1.f6"",""t5.c7"",""exact_name_in_target_table"",7],[""UNKNOWN_COLUMN_ID"",""t5.regmoment"",""/target_groups/0/field_mapping/c1.f7"",""t5.c4"",""exact_name_in_target_table"",7]]"
final_virtual_049,REF_UNKNOWN_COLUMN,mapping,REPAIRABLE_REFERENCE_ONLY,2,2,,"[[""/target_groups/0/field_mapping/c1.f1"",""t5.userregistry"",""t5.c7"",""unique_exact_identifier_name""],[""/target_groups/0/field_mapping/c1.f2"",""t5.nicklabel"",""t5.c1"",""unique_exact_identifier_name""]]","[[""UNKNOWN_COLUMN_ID"",""t5.userregistry"",""/target_groups/0/field_mapping/c1.f1"",""t5.c7"",""exact_name_in_target_table"",7],[""UNKNOWN_COLUMN_ID"",""t5.nicklabel"",""/target_groups/0/field_mapping/c1.f2"",""t5.c1"",""exact_name_in_target_table"",7]]"
final_virtual_050,REF_UNKNOWN_COLUMN,mapping,REPAIRABLE_REFERENCE_ONLY,1,1,,"[[""/target_groups/0/field_mapping/c1.f1"",""t3.engagereg"",""t3.c7"",""unique_exact_identifier_name""]]","[[""UNKNOWN_COLUMN_ID"",""t3.engagereg"",""/target_groups/0/field_mapping/c1.f1"",""t3.c7"",""exact_name_in_target_table"",12]]"
