sample_id,D_G1_target_state_correct,ACTUAL_D_F_G1_target_state_correct,FULL_target_state_correct,D_G1_to_ACTUAL_D_F_G1,ACTUAL_D_F_G1_to_FULL,D_G1_first_failure_stage,ACTUAL_D_F_G1_first_failure_stage,FULL_first_failure_stage,D_G1_error_type,ACTUAL_D_F_G1_error_type,FULL_error_type,ACTUAL_D_F_G1_accepted_output,ACTUAL_D_F_G1_preflight_accepted,ACTUAL_D_F_G1_hit_max_new_tokens
aug_seed_000172_relational_format_variant_001,0,0,0,both_wrong,both_wrong,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention,0,0,0
aug_seed_000202_relational_format_variant_002,0,0,0,both_wrong,both_wrong,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention,0,0,0
aug_seed_000005_single_row_subset_001,0,0,0,both_wrong,both_wrong,state_mismatch,state_mismatch,state_mismatch,wrong_state,wrong_state,wrong_state,1,1,0
aug_seed_000289_single_row_subset_001,0,0,0,both_wrong,both_wrong,build,build,build,MISSING_UPDATE_COLUMN_IDS,MISSING_UPDATE_COLUMN_IDS,MISSING_UPDATE_COLUMN_IDS,0,0,0
aug_seed_000051_single_row_subset_001,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
seed_000131,0,0,0,both_wrong,both_wrong,parse,parse,parse,parse_error,parse_error,parse_error,0,0,0
aug_seed_000328_single_row_subset_001,0,0,0,both_wrong,both_wrong,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention,0,0,0
seed_000084,0,0,0,both_wrong,both_wrong,build,build,build,UNKNOWN_COLUMN_ID,UNKNOWN_COLUMN_ID,UNKNOWN_COLUMN_ID,0,0,0
seed_000276,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
aug_seed_000321_single_row_subset_001,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
aug_seed_000112_relational_format_variant_003,0,0,0,both_wrong,both_wrong,build,build,build,UNRESOLVED_SOURCE_FIELD,UNRESOLVED_SOURCE_FIELD,UNRESOLVED_SOURCE_FIELD,0,0,0
aug_seed_000128_single_row_subset_001,0,0,0,both_wrong,both_wrong,build,build,build,MISSING_UPDATE_COLUMN_IDS,MISSING_UPDATE_COLUMN_IDS,MISSING_UPDATE_COLUMN_IDS,0,0,0
seed_000092,0,0,0,both_wrong,both_wrong,build,build,build,MISSING_REQUIRED_COLUMN,MISSING_REQUIRED_COLUMN,MISSING_REQUIRED_COLUMN,0,0,0
aug_seed_000334_single_row_subset_001,0,0,0,both_wrong,both_wrong,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention,0,0,0
seed_000353,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
seed_000271,0,0,0,both_wrong,both_wrong,build,build,build,NEEDS_CLARIFICATION,NEEDS_CLARIFICATION,NEEDS_CLARIFICATION,0,0,0
aug_seed_000293_relational_format_variant_003,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
seed_000264,0,0,0,both_wrong,both_wrong,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention,0,0,0
seed_000079,0,0,0,both_wrong,both_wrong,build,build,build,UNRESOLVED_SOURCE_FIELD,UNRESOLVED_SOURCE_FIELD,UNRESOLVED_SOURCE_FIELD,0,0,0
aug_seed_000314_single_row_subset_001,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
seed_000253,0,0,0,both_wrong,both_wrong,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention,0,0,0
aug_seed_000343_single_row_subset_001,0,0,0,both_wrong,both_wrong,build,build,build,LOSSY_NORMALIZATION_REJECTED,LOSSY_NORMALIZATION_REJECTED,LOSSY_NORMALIZATION_REJECTED,0,0,0
aug_seed_000309_relational_format_variant_002,0,0,0,both_wrong,both_wrong,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention,0,0,0
aug_seed_000072_relational_format_variant_001,0,0,0,both_wrong,both_wrong,parse,parse,parse,parse_error,parse_error,parse_error,0,0,1
seed_000266,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
aug_seed_000154_single_row_subset_001,0,0,0,both_wrong,both_wrong,build,build,build,UNKNOWN_CONSTRAINT_ID,UNKNOWN_CONSTRAINT_ID,UNKNOWN_CONSTRAINT_ID,0,0,0
seed_000273,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
aug_seed_000353_small_batch_subset_001,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
aug_seed_000307_small_batch_subset_001,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
aug_seed_000257_single_row_subset_001,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
seed_000206,0,0,0,both_wrong,both_wrong,build,build,build,MISSING_REQUIRED_COLUMN,MISSING_REQUIRED_COLUMN,MISSING_REQUIRED_COLUMN,0,0,0
seed_000254,0,0,0,both_wrong,both_wrong,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention,0,0,0
aug_seed_000171_single_row_subset_001,0,0,0,both_wrong,both_wrong,build,build,build,DUPLICATE_TARGET_COLUMN_AFTER_EVIDENCE_GROUNDING,DUPLICATE_TARGET_COLUMN_AFTER_EVIDENCE_GROUNDING,DUPLICATE_TARGET_COLUMN_AFTER_EVIDENCE_GROUNDING,0,0,0
aug_seed_000042_single_row_subset_001,0,0,0,both_wrong,both_wrong,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention,0,0,0
aug_seed_000208_single_row_subset_001,0,0,0,both_wrong,both_wrong,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention,0,0,0
seed_000154,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
aug_seed_000347_single_row_subset_001,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
aug_seed_000066_single_row_subset_002,0,0,0,both_wrong,both_wrong,build,build,build,LOSSY_NORMALIZATION_REJECTED,LOSSY_NORMALIZATION_REJECTED,UNKNOWN_COLUMN_ID,0,0,0
seed_000187,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
aug_seed_000252_small_batch_subset_001,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
aug_seed_000022_single_row_subset_002,0,0,0,both_wrong,both_wrong,build,build,build,UNKNOWN_CONSTRAINT_ID,UNKNOWN_CONSTRAINT_ID,UNKNOWN_CONSTRAINT_ID,0,0,0
seed_000150,0,0,0,both_wrong,both_wrong,build,build,build,UNKNOWN_COLUMN_ID,UNKNOWN_COLUMN_ID,UNKNOWN_COLUMN_ID,0,0,0
aug_seed_000181_single_row_subset_001,0,0,0,both_wrong,both_wrong,build,build,build,DUPLICATE_TARGET_COLUMN_AFTER_EVIDENCE_GROUNDING,DUPLICATE_TARGET_COLUMN_AFTER_EVIDENCE_GROUNDING,DUPLICATE_TARGET_COLUMN_AFTER_EVIDENCE_GROUNDING,0,0,0
aug_seed_000004_relational_format_variant_001,0,0,0,both_wrong,both_wrong,parse,parse,parse,parse_error,parse_error,parse_error,0,0,1
aug_seed_000169_single_row_subset_001,0,0,0,both_wrong,both_wrong,state_mismatch,state_mismatch,state_mismatch,wrong_state,wrong_state,wrong_state,1,1,0
seed_000299,0,0,0,both_wrong,both_wrong,build,build,build,UNRESOLVED_SOURCE_FIELD,UNRESOLVED_SOURCE_FIELD,UNRESOLVED_SOURCE_FIELD,0,0,0
aug_seed_000274_single_row_subset_001,0,0,0,both_wrong,both_wrong,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention,0,0,0
aug_seed_000052_small_batch_subset_001,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
seed_000274,0,0,0,both_wrong,both_wrong,build,build,build,UNRESOLVED_SOURCE_FIELD,UNRESOLVED_SOURCE_FIELD,UNRESOLVED_SOURCE_FIELD,0,0,0
aug_seed_000135_single_row_subset_001,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
aug_seed_000013_small_batch_subset_002,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
aug_seed_000121_small_batch_subset_001,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
seed_000208,0,0,0,both_wrong,both_wrong,build,build,build,UNKNOWN_COLUMN_ID,UNKNOWN_COLUMN_ID,UNKNOWN_COLUMN_ID,0,0,0
aug_seed_000190_single_row_subset_001,0,0,0,both_wrong,both_wrong,build,build,build,LOSSY_NORMALIZATION_REJECTED,LOSSY_NORMALIZATION_REJECTED,MISSING_UPDATE_COLUMN_IDS,0,0,0
seed_000185,0,1,1,rescue,both_correct,build,none,none,UNKNOWN_COLUMN_ID,,,1,1,0
seed_000337,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
seed_000059,0,0,0,both_wrong,both_wrong,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention,0,0,0
aug_seed_000203_single_row_subset_001,0,0,0,both_wrong,both_wrong,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention,0,0,0
aug_seed_000121_single_row_subset_002,0,0,0,both_wrong,both_wrong,build,build,build,UNKNOWN_EVIDENCE_ID,UNKNOWN_EVIDENCE_ID,UNKNOWN_EVIDENCE_ID,0,0,0
aug_seed_000005_single_row_subset_002,0,0,0,both_wrong,both_wrong,build,build,build,MISSING_UPDATE_COLUMN_IDS,MISSING_UPDATE_COLUMN_IDS,MISSING_UPDATE_COLUMN_IDS,0,0,0
seed_000066,0,0,0,both_wrong,both_wrong,state_mismatch,state_mismatch,state_mismatch,wrong_state,wrong_state,wrong_state,1,1,0
aug_seed_000094_small_batch_subset_001,0,0,0,both_wrong,both_wrong,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention,0,0,0
aug_seed_000127_single_row_subset_001,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
seed_000145,0,0,0,both_wrong,both_wrong,build,build,build,UNRESOLVED_SOURCE_FIELD,UNRESOLVED_SOURCE_FIELD,UNRESOLVED_SOURCE_FIELD,0,0,0
seed_000226,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
aug_seed_000002_relational_format_variant_002,0,0,0,both_wrong,both_wrong,build,build,build,UNRESOLVED_SOURCE_FIELD,UNRESOLVED_SOURCE_FIELD,UNRESOLVED_SOURCE_FIELD,0,0,0
aug_seed_000287_single_row_subset_001,0,0,0,both_wrong,both_wrong,build,build,build,MISSING_UPDATE_COLUMN_IDS,MISSING_UPDATE_COLUMN_IDS,MISSING_UPDATE_COLUMN_IDS,0,0,0
seed_000127,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
seed_000296,0,0,0,both_wrong,both_wrong,build,build,build,UNKNOWN_EVIDENCE_ID,UNKNOWN_EVIDENCE_ID,UNKNOWN_EVIDENCE_ID,0,0,0
seed_000042,0,0,0,both_wrong,both_wrong,build,build,build,NEEDS_CLARIFICATION,NEEDS_CLARIFICATION,NEEDS_CLARIFICATION,0,0,0
aug_seed_000116_single_row_subset_001,0,0,0,both_wrong,both_wrong,build,build,build,UNKNOWN_EVIDENCE_ID,UNKNOWN_EVIDENCE_ID,UNKNOWN_EVIDENCE_ID,0,0,0
aug_seed_000260_single_row_subset_001,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
seed_000229,0,0,0,both_wrong,both_wrong,build,build,build,UNKNOWN_COLUMN_ID,UNKNOWN_COLUMN_ID,UNKNOWN_COLUMN_ID,0,0,0
aug_seed_000189_small_batch_subset_001,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
aug_seed_000139_single_row_subset_001,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
seed_000094,0,0,0,both_wrong,both_wrong,build,build,build,UNRESOLVED_SOURCE_FIELD,UNRESOLVED_SOURCE_FIELD,UNRESOLVED_SOURCE_FIELD,0,0,0
seed_000101,0,0,0,both_wrong,both_wrong,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention,0,0,0
seed_000106,0,0,0,both_wrong,both_wrong,build,build,build,MISSING_REQUIRED_COLUMN,MISSING_REQUIRED_COLUMN,MISSING_REQUIRED_COLUMN,0,0,0
seed_000212,0,0,0,both_wrong,both_wrong,build,build,build,UNRESOLVED_SOURCE_FIELD,UNRESOLVED_SOURCE_FIELD,UNRESOLVED_SOURCE_FIELD,0,0,0
aug_seed_000092_single_row_subset_002,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
aug_seed_000346_relational_format_variant_001,0,0,0,both_wrong,both_wrong,parse,parse,parse,parse_error,parse_error,parse_error,0,0,1
aug_seed_000248_single_row_subset_001,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
seed_000288,0,1,1,rescue,both_correct,build,none,none,UNKNOWN_COLUMN_ID,,,1,1,0
seed_000301,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
aug_seed_000222_small_batch_subset_001,0,0,0,both_wrong,both_wrong,build,build,build,MISSING_REQUIRED_COLUMN,MISSING_REQUIRED_COLUMN,MISSING_REQUIRED_COLUMN,0,0,0
seed_000182,0,0,0,both_wrong,both_wrong,state_mismatch,state_mismatch,state_mismatch,wrong_state,wrong_state,wrong_state,1,1,0
seed_000085,0,0,0,both_wrong,both_wrong,state_mismatch,state_mismatch,state_mismatch,wrong_state,wrong_state,wrong_state,1,1,0
seed_000343,0,0,0,both_wrong,both_wrong,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention,0,0,0
aug_seed_000245_single_row_subset_001,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
seed_000020,0,0,0,both_wrong,both_wrong,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention,0,0,0
aug_seed_000216_single_row_subset_001,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
aug_seed_000275_relational_format_variant_002,0,0,0,both_wrong,both_wrong,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention,0,0,0
seed_000151,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
seed_000267,0,0,0,both_wrong,both_wrong,build,build,build,MISSING_REQUIRED_COLUMN,MISSING_REQUIRED_COLUMN,MISSING_REQUIRED_COLUMN,0,0,0
aug_seed_000241_small_batch_subset_001,0,0,0,both_wrong,both_wrong,build,build,build,LOSSY_NORMALIZATION_REJECTED,LOSSY_NORMALIZATION_REJECTED,TEMPORAL_EVIDENCE_SELECTION_INCOMPATIBLE,0,0,0
aug_seed_000078_relational_format_variant_001,0,0,0,both_wrong,both_wrong,build,build,build,LOSSY_NORMALIZATION_REJECTED,LOSSY_NORMALIZATION_REJECTED,TEMPORAL_EVIDENCE_SELECTION_INCOMPATIBLE,0,0,0
seed_000252,0,0,0,both_wrong,both_wrong,build,build,build,UNRESOLVED_SOURCE_FIELD,UNRESOLVED_SOURCE_FIELD,UNRESOLVED_SOURCE_FIELD,0,0,0
aug_seed_000234_relational_format_variant_001,0,0,0,both_wrong,both_wrong,build,build,build,NEEDS_CLARIFICATION,NEEDS_CLARIFICATION,NEEDS_CLARIFICATION,0,0,0
seed_000218,0,0,0,both_wrong,both_wrong,build,build,build,UNRESOLVED_SOURCE_FIELD,UNRESOLVED_SOURCE_FIELD,UNRESOLVED_SOURCE_FIELD,0,0,0
aug_seed_000127_small_batch_subset_001,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
seed_000346,0,0,0,both_wrong,both_wrong,build,build,build,UNRESOLVED_SOURCE_FIELD,UNRESOLVED_SOURCE_FIELD,UNRESOLVED_SOURCE_FIELD,0,0,0
aug_seed_000222_single_row_subset_001,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
aug_seed_000191_single_row_subset_001,0,0,0,both_wrong,both_wrong,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention,0,0,0
aug_seed_000051_small_batch_subset_002,0,0,0,both_wrong,both_wrong,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention,0,0,0
aug_seed_000165_single_row_subset_001,0,0,0,both_wrong,both_wrong,build,build,build,MISSING_UPDATE_COLUMN_IDS,MISSING_UPDATE_COLUMN_IDS,MISSING_UPDATE_COLUMN_IDS,0,0,0
aug_seed_000091_single_row_subset_002,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
seed_000334,0,1,1,rescue,both_correct,build,none,none,UNKNOWN_COLUMN_ID,,,1,1,0
seed_000003,0,0,0,both_wrong,both_wrong,build,build,build,MISSING_REQUIRED_COLUMN,MISSING_REQUIRED_COLUMN,MISSING_REQUIRED_COLUMN,0,0,0
seed_000211,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
aug_seed_000009_small_batch_subset_002,0,0,0,both_wrong,both_wrong,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention,0,0,0
seed_000011,0,0,0,both_wrong,both_wrong,state_mismatch,state_mismatch,state_mismatch,wrong_state,wrong_state,wrong_state,1,1,0
aug_seed_000061_single_row_subset_001,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
seed_000176,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
seed_000303,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
seed_000203,0,0,0,both_wrong,both_wrong,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention,0,0,0
seed_000134,0,0,0,both_wrong,both_wrong,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention,0,0,0
